,title,description,release_date,tags,rating
42,Престиж,"В этой вольной экранизации романа Кристофера Приста речь идет о смертельной вражде двух иллюзионистов, Артура Бордена (Кристиан Бейл) и Роберта Энджера (Хью Джекман). Это история одержимости, ненависти и мести, фоном для которой послужили роскошные декорации девятнадцатого века и невероятные научные открытия Николы Теслы.",17.10.2006,"детектив, драма, триллер, фантастика, фэнтези",8.79/10
43,Харакири,"Хансиро Цугумо когда-то был самураем в клане Фокушима, но его дом потерпел поражение и теперь ронин уже много лет влачит жалкое существование. Не желая жить в нищете и позоре, Хансиро приходит в поместье клана Ии, с просьбой совершить харакири во дворе их имения, ведь такая смерть будет почётной. Советник клана Ии соглашается удовлетворить просьбу ронина, ещё не зная, что весь последующий ритуал самоубийства станет серьёзной проверкой на честь для клана Ии.",16.09.1962,"боевик, драма, исторический",9.67/10
44,Дюна: Часть вторая,"Герцог Пол Атрейдес присоединяется к фрименам, чтобы стать Муад Дибом, одновременно пытаясь остановить наступление Священной войны, которая несомненно может погрузить вселенную в пучину ужаса и всеобъемлющего страха.",28.02.2024,"боевик, драма, приключения, фантастика",7.98/10
45,Подозрительные лица,"Полиция, занимаясь расследованием причин взрыва пирса Сан-Педро, обнаружила тела 27 погибших и 91 миллион долларов. В больнице находился единственный выживший, который мог бы дать хоть какие-то объяснения произошедшего. Но из-за сильных ожогов его жизнь была под большой угрозой. Ясно было одно - деньги принадлежали наркомафии.Эта история началась в Нью-Йорке, за 5 дней до взрыва. И есть человек, способный ее рассказать. ",19.07.1995,"детектив, криминал, триллер",8.32/10
46,Касабланка,"Действие происходит во время второй мировой войны. Владелец игорного клуба в Касабланке, американец Рик Блэйн случайно встречает свою бывшую возлюбленную Ильзу, с которой они расстались несколько лет назад. Теперь она замужем, причем ее муж - борец антифашистского подполья. За Ильзой и ее мужем идут по следам фашисты и она просит Рика помочь им с документами, чтобы они смогли сбежать из Касабланки и продолжить свою борьбу против немцев.",09.12.1942,"драма, мелодрама",8.82/10
47,1+1,Основанная на реальных событиях история необычной дружбы  двух совершенно непохожих друг на друга мужчин: прикованного к инвалидному  креслу богатого аристократа и только что освободившегося из тюрьмы молодого  араба.,02.11.2011,"драма, комедия",8.99/10
48,"Новый кинотеатр ""Парадизо""","Известный кинорежиссер впервые за 30 лет решается вернуться в свою родную сицилийскую деревеньку. Там его одолевают воспоминания. В детстве он ходил в кинотеатр ""Парадизо"". И киномеханик Алфредо помогал мальчику проникнуть в секреты кино, полюбить искусство кинематографа. Но было и еще одно сильное воспоминание, связанное с домом: первая любовь к прекрасной девушке по имени Елена.",17.11.1988,"драма, комедия, мелодрама",9.13/10
49,Новые времена,"Легендарный Чарли Чаплин играет роль Маленького Бродяги, который с помощью молодой бездомной женщины пытается выжить в новом индустриальном обществе, сражаясь с заполонившими его бездушными начальниками, глупыми магнатами и не знающими жалости полицейскими.",11.02.1936,"драма, комедия, мелодрама",9.00/10
50,Чужой,"Команда космического грузовика ""Ностромо"" выходит из гиперсна и обнаруживает, что компьютерная система ""Мать"", управляющая кораблем, разбудила их слишком далеко от Земли. Вскоре выясняется, что ""Мать"" засекла странный сигнал, транслируемый с поверхности одной из ближайших планет. Группа исследователей высаживается на ней и обнаруживает разбившийся корабль пришельцев и странную кладку яиц в одном из его трюмов.",21.07.1979,"триллер, ужасы, фантастика",8.87/10
51,Окно во двор,"Прикованный к  инвалидному креслу фотограф, шпионящий за своими соседями из окна своей  квартиры, уверен, что один из них совершил убийство. ",14.01.1955,"детектив, криминал, триллер",8.57/10
52,Однажды на Диком Западе,"Не расстающийся со совей губной гармоникой таинственный  бродяга и известный бандит Шайен берутся защитить принципиальную вдову, за  которой охотится безжалостный наемный убийца.",21.12.1968,"вестерн, драма",8.48/10
53,Огни большого города,"Маленький бродяга встречает на улице слепую цветочницу и задается целью собрать деньги на операцию, которая вернет девушке зрение.",27.02.1931,"драма, комедия, мелодрама",9.00/10
54,Джанго освобожденный,Противник расизма и рабства доктор Кинг Шульц и освобожденный им раб Джанго отправляются на выручку находящейся в рабстве у жестокого плантатора жене Джанго. ,27.12.2012,"вестерн, драма, кинокомикс",8.54/10
55,Апокалипсис сегодня,"Самый разгар войны во Вьетнаме. Капитан Уиллард (Мартин Шин) получает задание найти и уничтожить сошедшего с ума полковника Курца, который возомнил себя богом маленького племени в Камбодже. Постепенно путешествие к Курцу превращается в путешествие к безумию среди зверств и ужасов войны.",15.08.1979,"военный, драма",8.81/10
56,Помни,"Леонард полон решимости отомстить за смерть своей жены. Но проблема в том, что он болен, он страдает кратковременной памятью. Стоит ему уснуть, как из головы исчезает все. Единственный способ хоть как-то двигаться вперед - это успевать все записать, перед тем, как закрыть глаза.История начинается сегодня и постепенно уходит в прошлое. Леонард все глубже уходит во ""вчера"", пытаясь разгадать тайну гибели своей жены и ее убийцы.",07.09.2000,"детектив, триллер",8.48/10
57,ВАЛЛ-И,"Далекое будущее.  Земля напоминает большую мусорную корзину, и робот Валл-И был послан на планету, чтобы расчистить весь беспорядок. Однажды на Землю высаживается робот Ив, которая должна проследить за состоянием планеты. Валл-И влюбляется в Ив и делает все, чтобы она была в безопасности. Но, выполнив  миссию, Ив возвращается на свою планету, где ее ждут люди, чтобы узнать, безопасно ли возвращаться домой. Валл-И следует за любимой, попадая по пути во множество приключений. Продолжительность: 98 мин. ",27.06.2008,"детский, комедия, мелодрама, мультфильм, семейный, фантастика",8.87/10
58,Индиана Джонс: В поисках утраченного ковчега,"Индиана Джонс - известный археолог и специалист по оккультным наукам. Правительство США дает ему опасное задание. Он должен найти уникальную реликвию - священный Ковчег. Но археолог и не подозревает, что вместе с ним на поиски реликвии направлены агенты Адольфа Гитлера.Это первый фильм из сиквела об Индиане Джонсе.",12.06.1981,"боевик, приключения, триллер",8.83/10
59,12-я неудача,"Фильм рассказывает реальную историю деревенского паря из очень бедной семьи, который пытается сдать экзамены в престижную полицейскую академию. Это даст ему возможность вырваться из бедной деревни и преуспеть в жизни, но желающих очень много.",27.10.2023,"биографический, драма",7.00/10
60,Жизнь других,"Ужасающая до смешного система слежек в Восточной Европе. Начало 80-х, успешный драматург Георг Драйман и его давний друг, популярная актриса Криста-Мария Зиланд являются звездами в социалистическом государстве. Они никогда не высказывались о своих политических убеждениях, но они становятся целью слежек спецслужб. И агент Визлер, один из самых дотошных сотрудников, начинает слежку за Кристой, только по причине того, что министр культуры проявил к ней интерес.",23.03.2006,"драма, триллер",8.62/10
61,Сансет бульвар,"Сценарист по найму пишет сценарий для некогда очень  популярного актера немого кино, канувшего в голливудскую безвестность. ",25.08.1950,"драма, нуар",8.89/10
62,Мстители 3: Война бесконечности,"Мстители и Стражи Галактики объединяются, чтобы противостоять Таносу, стремящемуся завладеть оставшимися Камнями Бесконечности и получить безграничную власть над Галактикой.",27.04.2018,"боевик, кинокомикс, приключения, фантастика",9.04/10
63,Тропы славы,"1916 год, западный фронт Первой Мировой. Очередная самоубийственная атака заканчивается мясорубкой, в которой выживают лишь трое рядовых, которые отказались идти до конца. Но, чтобы прикрыть собственную некомпетентность, начальство решает судить их за трусость. Однако не все офицеры спокойно терпят подобное положение дел, и один из них, на свой страх и риск, решает во что бы то ни стало защитить этих троих жертв преступной глупости вышестоящих, начиная ставить их в пример всех остальным солдатам.",24.10.1957,"военный, драма",8.17/10
